iter	Passed	Remaining
0	1	144
1	2	135
2	3	128
3	5	123
4	6	119
5	7	120
6	9	125
7	10	123
8	12	122
9	13	120
10	14	117
11	15	115
12	16	112
13	18	111
14	19	109
15	20	107
16	21	105
17	22	104
18	24	103
19	25	101
20	26	99
21	27	98
22	29	97
23	30	95
24	31	94
25	32	92
26	33	91
27	34	89
28	36	88
29	37	86
30	38	85
31	39	84
32	40	83
33	42	81
34	43	80
35	44	79
36	46	78
37	47	76
38	48	75
39	49	74
40	50	72
41	51	70
42	52	69
43	53	68
44	54	67
45	56	66
46	58	65
47	59	64
48	60	63
49	61	61
50	62	60
51	63	58
52	64	57
53	65	56
54	66	54
55	67	53
56	68	51
57	69	50
58	70	49
59	72	48
60	73	46
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	79	39
67	80	38
68	81	36
69	82	35
70	84	34
71	85	33
72	86	31
73	87	30
74	88	29
75	89	28
76	90	27
77	91	25
78	92	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	14
88	103	12
89	104	11
90	106	10
91	107	9
92	108	8
93	109	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
