iter	Passed	Remaining
0	0	912
1	1	840
2	2	820
3	3	810
4	4	796
5	4	785
6	5	777
7	6	785
8	7	779
9	7	773
10	8	767
11	9	764
12	10	759
13	10	755
14	11	752
15	12	747
16	12	744
17	13	740
18	14	737
19	14	734
20	15	734
21	16	732
22	17	730
23	17	729
24	18	728
25	19	727
26	20	727
27	20	727
28	21	726
29	22	725
30	23	723
31	23	723
32	24	723
33	25	724
34	26	724
35	27	724
36	27	724
37	28	724
38	29	723
39	30	724
40	31	725
41	31	727
42	32	730
43	33	732
44	34	733
45	35	733
46	36	734
47	37	736
48	37	736
49	38	735
50	39	734
51	40	733
52	40	731
53	41	731
54	42	730
55	43	730
56	44	730
57	44	729
58	45	727
59	46	725
60	47	724
61	47	722
62	48	722
63	49	720
64	50	724
65	51	724
66	52	725
67	52	723
68	53	724
69	54	724
70	55	724
71	56	724
72	57	724
73	57	723
74	58	723
75	59	723
76	60	722
77	61	722
78	61	721
79	62	720
80	63	720
81	64	721
82	64	716
83	65	716
84	66	716
85	67	716
86	68	716
87	69	716
88	70	717
89	71	718
90	71	718
91	72	718
92	73	719
93	74	718
94	75	716
95	75	714
96	76	712
97	77	710
98	77	709
99	79	716
100	80	715
101	81	715
102	82	714
103	82	714
104	83	713
105	84	712
106	85	712
107	86	711
108	86	711
109	87	709
110	88	708
111	89	707
112	89	705
113	90	704
114	91	703
115	92	702
116	92	700
117	93	699
118	95	708
119	96	707
120	97	706
121	98	705
122	98	705
123	99	704
124	100	703
125	101	703
126	101	700
127	102	699
128	103	698
129	104	697
130	104	696
131	105	695
132	106	693
133	107	693
134	108	692
135	108	691
136	109	690
137	110	689
138	111	688
139	111	687
140	112	686
141	113	687
142	114	687
143	115	686
144	116	685
145	117	684
146	117	683
147	118	683
148	119	682
149	120	681
150	121	681
151	122	680
152	122	680
153	123	679
154	124	678
155	125	677
156	126	677
157	126	676
158	127	675
159	128	674
160	129	672
161	129	671
162	130	671
163	131	670
164	132	669
165	133	668
166	133	668
167	134	667
168	135	666
169	136	666
170	137	665
171	138	664
172	138	664
173	139	663
174	140	663
175	141	662
176	142	661
177	143	661
178	143	660
179	144	659
180	145	658
181	146	658
182	147	658
183	148	658
184	149	657
185	150	656
186	150	656
187	151	655
188	152	654
189	153	654
190	154	653
191	155	652
192	155	652
193	156	651
194	157	650
195	158	649
196	159	648
197	159	647
198	160	646
199	161	646
200	162	645
201	163	644
202	163	643
203	164	642
204	165	641
205	166	640
206	166	639
207	167	638
208	168	638
209	169	637
210	170	636
211	171	635
212	171	634
213	172	634
214	173	633
215	174	632
216	175	631
217	175	630
218	176	629
219	177	627
220	177	627
221	178	626
222	179	626
223	180	625
224	181	624
225	182	623
226	182	622
227	183	622
228	184	621
229	185	621
230	186	620
231	187	619
232	187	618
233	188	617
234	189	617
235	190	616
236	191	615
237	191	614
238	192	613
239	193	613
240	194	612
241	195	612
242	196	611
243	197	611
244	197	610
245	198	609
246	199	608
247	200	607
248	201	606
249	202	606
250	202	605
251	203	604
252	204	603
253	205	603
254	206	602
255	206	601
256	207	600
257	208	599
258	209	598
259	210	598
260	210	597
261	211	596
262	212	595
263	213	594
264	213	592
265	214	591
266	215	590
267	215	589
268	216	588
269	217	587
270	218	586
271	218	585
272	219	584
273	220	583
274	220	582
275	221	581
276	222	581
277	223	580
278	224	579
279	225	578
280	225	577
281	226	576
282	227	575
283	227	574
284	229	574
285	229	573
286	230	572
287	231	571
288	232	571
289	232	570
290	233	569
291	234	568
292	235	567
293	235	566
294	236	566
295	237	565
296	238	564
297	239	563
298	239	562
299	240	561
300	241	560
301	242	559
302	242	558
303	243	557
304	244	556
305	245	556
306	246	555
307	246	554
308	247	554
309	248	553
310	249	552
311	250	551
312	251	551
313	252	550
314	252	549
315	253	548
316	254	548
317	255	547
318	255	546
319	256	545
320	257	545
321	258	544
322	259	544
323	260	543
324	261	542
325	262	542
326	263	541
327	263	540
328	264	539
329	265	538
330	266	538
331	267	537
332	267	536
333	268	535
334	269	534
335	270	534
336	270	533
337	271	532
338	272	531
339	273	530
340	274	529
341	274	528
342	275	528
343	276	527
344	277	526
345	278	526
346	279	525
347	279	524
348	280	523
349	281	523
350	282	522
351	283	521
352	284	520
353	284	519
354	285	519
355	286	518
356	287	517
357	287	516
358	288	515
359	289	514
360	290	514
361	291	513
362	292	512
363	293	512
364	293	511
365	294	510
366	295	509
367	296	509
368	297	508
369	297	507
370	298	506
371	299	505
372	300	504
373	300	503
374	301	502
375	302	501
376	302	500
377	303	500
378	304	499
379	305	498
380	306	498
381	307	497
382	308	496
383	309	496
384	310	495
385	311	495
386	312	495
387	313	494
388	313	493
389	314	492
390	315	491
391	316	490
392	317	489
393	317	488
394	318	488
395	319	487
396	320	486
397	321	486
398	322	485
399	323	484
400	323	483
401	324	483
402	325	482
403	326	481
404	327	480
405	327	479
406	328	478
407	329	477
408	330	476
409	330	476
410	331	475
411	332	474
412	333	473
413	334	473
414	335	472
415	335	471
416	336	470
417	337	470
418	338	469
419	339	468
420	339	467
421	340	466
422	341	465
423	342	464
424	343	464
425	343	463
426	344	462
427	345	461
428	346	460
429	346	459
430	347	459
431	348	458
432	349	458
433	350	457
434	351	456
435	352	456
436	353	455
437	354	454
438	355	454
439	356	453
440	356	452
441	357	451
442	358	450
443	358	449
444	359	448
445	360	447
446	361	446
447	361	445
448	362	444
449	363	443
450	364	443
451	365	442
452	365	441
453	366	440
454	367	440
455	368	439
456	369	438
457	369	437
458	370	436
459	371	435
460	371	434
461	372	433
462	373	432
463	373	431
